iter	Passed	Remaining
967	4099	135
968	4101	131
969	4107	127
970	4109	122
971	4112	118
972	4115	114
973	4118	109
974	4122	105
975	4125	101
976	4128	97
977	4130	92
978	4135	88
979	4138	84
980	4140	80
981	4143	75
982	4145	71
983	4151	67
984	4154	63
985	4157	59
986	4159	54
987	4161	50
988	4166	46
989	4169	42
990	4172	37
991	4175	33
992	4180	29
993	4184	25
994	4187	21
995	4191	16
996	4197	12
997	4200	8
998	4203	4
999	4206	0
